NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;No;78.6759;0.884013;88.9985;39.3453;3046;1591.8604;90451;32786;3.1569;286;62;52;1575;1471;1722;1477;73083;28249;55401;68028
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;--;;;0.0000;0.0000;135;0.0000;8649;25;0.9081;50;44;0;81;54;76;2;8568;21;857;961
CATALUNYA;GLOBAL;2021-09-09;2021-09-15;Si;;;194.8189;80.4686;57;8854.3798;5586;686;1.5553;36;0;12;44;13;48;13;3465;457;64;97
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;--;;;0.0000;0.0000;146;0.0000;8803;26;0.9832;47;6;1;92;54;84;2;8723;24;872;974
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;Si;;;213.1714;84.7038;60;9105.6681;5756;694;1.7461;36;0;13;43;17;53;17;3543;466;69;91
CATALUNYA;GLOBAL;2021-09-08;2021-09-14;No;82.6694;0.897492;92.1115;41.2054;3190;1617.7204;92537;32702;3.2492;295;59;52;1630;1560;1772;1565;74571;28131;58723;74347
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;No;86.6602;0.907844;95.4571;43.2721;3350;1625.5094;92865;32977;3.3660;316;63;60;1704;1646;1794;1668;74603;28249;63851;81731
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;--;;;0.0000;0.0000;147;0.0000;8745;30;0.9321;42;5;1;92;55;79;2;8662;28;896;1049
CATALUNYA;GLOBAL;2021-09-07;2021-09-13;Si;;;225.8770;84.7038;60;9578.5981;6124;661;1.5080;33;0;11;40;20;44;20;3794;450;62;101
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;No;91.0702;0.915277;99.5001;44.9643;3481;1621.1434;92366;33138;3.5405;335;71;68;1731;1750;1857;1772;74066;28434;65497;98633
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;--;;;0.0000;0.0000;154;0.0000;8711;30;0.9478;34;5;2;96;58;80;2;8623;29;900;1093
CATALUNYA;GLOBAL;2021-09-06;2021-09-12;Si;;;225.8770;87.5273;62;10583.7509;6845;652;1.4082;31;0;11;41;21;45;21;4233;454;66;112
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;--;;;0.0000;0.0000;154;0.0000;8762;29;0.9772;35;4;3;99;55;83;2;8670;28;900;1148
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;Si;;;228.7005;90.3508;64;10517.3995;6786;664;1.4836;34;0;9;41;23;46;23;4191;460;66;112
CATALUNYA;GLOBAL;2021-09-05;2021-09-11;No;93.3362;0.920836;101.3602;45.9976;3561;1621.1047;92132;33369;3.5988;344;76;71;1731;1830;1860;1828;73842;28638;65576;99424
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;No;95.5861;0.919025;104.0082;47.4831;3676;1640.1057;92644;34328;3.6643;357;84;72;1791;1885;1919;1881;74241;29461;66191;109333
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;--;;;0.0000;0.0000;161;0.0000;9189;33;0.9753;34;5;3;102;59;87;2;9094;31;928;1184
CATALUNYA;GLOBAL;2021-09-04;2021-09-10;Si;;;237.1708;86.1156;61;10530.1051;6829;630;1.4066;31;0;7;39;22;44;22;4250;442;66;111
